servername,gamescore,servePointProbability
Novak Djokovic,30-15,.73913044
Novak Djokovic,30-30,.68871593
Novak Djokovic,30-40,.67375886
Novak Djokovic,40-0,.6979472
Novak Djokovic,40-15,.6690141
Novak Djokovic,40-30,.68867922
Novak Djokovic,40-40,.67987806
Novak Djokovic,40-50,.60000002
Novak Djokovic,50-40,.68161434
Dominic Thiem,0-0,.64895105
Dominic Thiem,0-15,.61752987
Dominic Thiem,0-30,.63541669
Dominic Thiem,0-40,.48571429
Dominic Thiem,15-0,.66810346
Dominic Thiem,15-15,.67313915
Dominic Thiem,15-30,.69753087
Dominic Thiem,15-40,.62121212
Dominic Thiem,30-0,.67419356
Dominic Thiem,30-15,.67637539
Dominic Thiem,30-30,.66666669
Dominic Thiem,30-40,.66071427
Dominic Thiem,40-0,.708134
Dominic Thiem,40-15,.62962961
Dominic Thiem,40-30,.67355371
Dominic Thiem,40-40,.64516127
Dominic Thiem,40-50,.64646465
Dominic Thiem,50-40,.65555555
Paul Henri-Mathieu,0-0,.54545456
Paul Henri-Mathieu,0-15,.60000002
Paul Henri-Mathieu,0-30,1
Paul Henri-Mathieu,15-0,.83333331
Paul Henri-Mathieu,15-15,.5
Paul Henri-Mathieu,15-30,1
Paul Henri-Mathieu,30-0,.60000002
Paul Henri-Mathieu,30-15,.75
Paul Henri-Mathieu,30-30,.80000001
Paul Henri-Mathieu,30-40,1
Paul Henri-Mathieu,40-0,.66666669
Paul Henri-Mathieu,40-15,.5
Paul Henri-Mathieu,40-30,.5
Paul Henri-Mathieu,40-40,1
Paul Henri-Mathieu,50-40,.5714286
Thanasi Kokkinakis,0-0,.64358974
Thanasi Kokkinakis,0-15,.60431653
Thanasi Kokkinakis,0-30,.47272727
Thanasi Kokkinakis,0-40,.55172414
Thanasi Kokkinakis,15-0,.66932273
Thanasi Kokkinakis,15-15,.63473052
Thanasi Kokkinakis,15-30,.60919541
Thanasi Kokkinakis,15-40,.66000003
Thanasi Kokkinakis,30-0,.61309522
Thanasi Kokkinakis,30-15,.60233921
Thanasi Kokkinakis,30-30,.71900827
Thanasi Kokkinakis,30-40,.58208954
Thanasi Kokkinakis,40-0,.70873785
Thanasi Kokkinakis,40-15,.7218045
Thanasi Kokkinakis,40-30,.70161289
Thanasi Kokkinakis,40-40,.68461537
Thanasi Kokkinakis,40-50,.48780489
Thanasi Kokkinakis,50-40,.6179775
Luca Vanni,0-0,.68156427
Luca Vanni,0-15,.68421054
Luca Vanni,0-30,.5
Luca Vanni,0-40,.66666669
Luca Vanni,15-0,.55737704
Luca Vanni,15-15,.74193549
Luca Vanni,15-30,.69696969
Luca Vanni,15-40,.75
Luca Vanni,30-0,.55882353
Luca Vanni,30-15,.70707071
Luca Vanni,30-30,.61538464
Luca Vanni,30-40,.5625
Luca Vanni,40-0,.7368421
Luca Vanni,40-15,.66250002
Luca Vanni,40-30,.71186441
Luca Vanni,40-40,.7096774
Luca Vanni,40-50,.6111111
Luca Vanni,50-40,.63636363
Peter Gojowczyk,0-0,.48148149
Peter Gojowczyk,0-15,.71428573
Peter Gojowczyk,0-30,1
Peter Gojowczyk,15-0,.61538464
Peter Gojowczyk,15-15,.60000002
Peter Gojowczyk,15-30,.60000002
Peter Gojowczyk,15-40,.5
Peter Gojowczyk,30-0,.875
Peter Gojowczyk,30-15,.60000002
Peter Gojowczyk,30-30,.69999999
Peter Gojowczyk,30-40,.80000001
Peter Gojowczyk,40-0,.71428573
Peter Gojowczyk,40-15,.75
Peter Gojowczyk,40-30,.55555558
Peter Gojowczyk,40-40,.5
Peter Gojowczyk,40-50,.42857143
Peter Gojowczyk,50-40,.5714286
Victor Estrella Burgos,0-0,.56018519
Victor Estrella Burgos,0-15,.51578945
Victor Estrella Burgos,0-30,.5869565
Victor Estrella Burgos,0-40,.42105263
Victor Estrella Burgos,15-0,.74380165
Victor Estrella Burgos,15-15,.64999998
Victor Estrella Burgos,15-30,.60000002
Victor Estrella Burgos,15-40,.5
Victor Estrella Burgos,30-0,.65555555
Victor Estrella Burgos,30-15,.62650603
Victor Estrella Burgos,30-30,.6875
Victor Estrella Burgos,30-40,.51428574
Victor Estrella Burgos,40-0,.66101694
Victor Estrella Burgos,40-15,.69444442
Victor Estrella Burgos,40-30,.71212119
Victor Estrella Burgos,40-40,.52564102
Victor Estrella Burgos,40-50,.5945946
Victor Estrella Burgos,50-40,.53658539
Jesse Huta Galung,0-0,.61538464
Jesse Huta Galung,0-15,1
Jesse Huta Galung,15-0,.625
Jesse Huta Galung,15-15,.75
Jesse Huta Galung,15-30,0
Jesse Huta Galung,15-40,.5
Jesse Huta Galung,30-0,.80000001
Jesse Huta Galung,30-15,.71428573
Jesse Huta Galung,30-30,.5
Jesse Huta Galung,30-40,0
Jesse Huta Galung,40-0,.75
Jesse Huta Galung,40-15,1
Jesse Huta Galung,40-30,1
Carlos Berlocq,0-0,.61244017
Carlos Berlocq,0-15,.60493827
Carlos Berlocq,0-30,.625
Carlos Berlocq,0-40,.58333331
Carlos Berlocq,15-0,.6015625
Carlos Berlocq,15-15,.63
Carlos Berlocq,15-30,.61403507
Carlos Berlocq,15-40,.7241379
Carlos Berlocq,30-0,.55844158
Carlos Berlocq,30-15,.56701028
Carlos Berlocq,30-30,.59740257
Carlos Berlocq,30-40,.69230771
Carlos Berlocq,40-0,.79069769
Carlos Berlocq,40-15,.640625
Carlos Berlocq,40-30,.47826087
Carlos Berlocq,40-40,.61643833
Carlos Berlocq,40-50,.625
Carlos Berlocq,50-40,.56666666
Stephane Robert,0-0,.52941179
Stephane Robert,0-15,.44999999
Stephane Robert,0-30,.54545456
Stephane Robert,0-40,.5
Stephane Robert,15-0,.62222224
Stephane Robert,15-15,.60000002
Stephane Robert,15-30,.61538464
Stephane Robert,15-40,.53333336
Stephane Robert,30-0,.60714287
Stephane Robert,30-15,.625
Stephane Robert,30-30,.60714287
Stephane Robert,30-40,.57894737
Stephane Robert,40-0,.41176471
Stephane Robert,40-15,.66666669
Stephane Robert,40-30,.62962961
Stephane Robert,40-40,.55263156
Stephane Robert,40-50,.52941179
Stephane Robert,50-40,.61904764
Pablo Carreno-Busta,0-0,.66042155
Pablo Carreno-Busta,0-15,.60000002
Pablo Carreno-Busta,0-30,.67241377
Pablo Carreno-Busta,0-40,.57894737
Pablo Carreno-Busta,15-0,.62765956
Pablo Carreno-Busta,15-15,.61979169
Pablo Carreno-Busta,15-30,.52678573
Pablo Carreno-Busta,15-40,.578125
Pablo Carreno-Busta,30-0,.63276833
Pablo Carreno-Busta,30-15,.5869565
Pablo Carreno-Busta,30-30,.65925926
Pablo Carreno-Busta,30-40,.63855422
Pablo Carreno-Busta,40-0,.6160714
Pablo Carreno-Busta,40-15,.68874174
Pablo Carreno-Busta,40-30,.64705884
Pablo Carreno-Busta,40-40,.66346157
Pablo Carreno-Busta,40-50,.65714288
Pablo Carreno-Busta,50-40,.557971
Diego Sebastian Schwartzman,0-0,.63926941
Diego Sebastian Schwartzman,0-15,.55696201
Diego Sebastian Schwartzman,0-30,.65714288
Diego Sebastian Schwartzman,0-40,.41666666
Diego Sebastian Schwartzman,15-0,.6857143
Diego Sebastian Schwartzman,15-15,.59090906
Diego Sebastian Schwartzman,15-30,.67796612
Diego Sebastian Schwartzman,15-40,.5
Diego Sebastian Schwartzman,30-0,.64583331
Diego Sebastian Schwartzman,30-15,.54651165
Diego Sebastian Schwartzman,30-30,.56962025
Diego Sebastian Schwartzman,30-40,.45652175
Diego Sebastian Schwartzman,40-0,.56451613
Diego Sebastian Schwartzman,40-15,.55405408
Diego Sebastian Schwartzman,40-30,.6025641
Diego Sebastian Schwartzman,40-40,.64516127
Diego Sebastian Schwartzman,40-50,.5151515
Diego Sebastian Schwartzman,50-40,.60000002
Dane Propoggia,0-0,.63157892
Dane Propoggia,0-15,1
Dane Propoggia,15-0,.75
Dane Propoggia,15-15,.60000002
Dane Propoggia,15-30,.75
Dane Propoggia,15-40,1
Dane Propoggia,30-0,.77777779
Dane Propoggia,30-15,.625
Dane Propoggia,30-30,.83333331
Dane Propoggia,30-40,.5
Dane Propoggia,40-0,.42857143
Dane Propoggia,40-15,.66666669
Dane Propoggia,40-30,.75
Dane Propoggia,40-40,1
Dane Propoggia,50-40,1
Frank Dancevic,0-0,.56666666
Frank Dancevic,0-15,.69230771
Frank Dancevic,0-30,.5
Frank Dancevic,0-40,.5
Frank Dancevic,15-0,.64705884
Frank Dancevic,15-15,.66666669
Frank Dancevic,15-30,.5714286
Frank Dancevic,15-40,1
Frank Dancevic,30-0,.54545456
Frank Dancevic,30-15,.66666669
Frank Dancevic,30-30,.22222222
Frank Dancevic,30-40,.63636363
Frank Dancevic,40-0,.5
Frank Dancevic,40-15,.76923078
Frank Dancevic,40-30,.80000001
Frank Dancevic,40-40,.75
Frank Dancevic,40-50,0
Frank Dancevic,50-40,.33333334
Facundo Arguello,0-0,.54545456
Facundo Arguello,0-15,.56
Facundo Arguello,0-30,.090909094
Facundo Arguello,0-40,.30000001
Facundo Arguello,15-0,.56666666
Facundo Arguello,15-15,.5925926
Facundo Arguello,15-30,.58333331
Facundo Arguello,15-40,.375
Facundo Arguello,30-0,.64705884
Facundo Arguello,30-15,.59090906
Facundo Arguello,30-30,.625
Facundo Arguello,30-40,.66666669
Facundo Arguello,40-0,.63636363
Facundo Arguello,40-15,.29411766
Facundo Arguello,40-30,.59090906
Facundo Arguello,40-40,.46153846
Facundo Arguello,40-50,.35714287
Facundo Arguello,50-40,.5
Bastian Trinker,0-0,.51612902
Bastian Trinker,0-15,.53333336
Bastian Trinker,0-30,.2857143
Bastian Trinker,0-40,.40000001
Bastian Trinker,15-0,.75
Bastian Trinker,15-15,.41666666
Bastian Trinker,15-30,.66666669
Bastian Trinker,15-40,.60000002
Bastian Trinker,30-0,.83333331
Bastian Trinker,30-15,.71428573
Bastian Trinker,30-30,.625
Bastian Trinker,30-40,.66666669
Bastian Trinker,40-0,.80000001
Bastian Trinker,40-15,.5714286
Bastian Trinker,40-30,.625
Bastian Trinker,40-40,.58823532
Bastian Trinker,40-50,.42857143
Bastian Trinker,50-40,.30000001
Guido Pella,0-0,.625
Guido Pella,0-15,.51851851
Guido Pella,0-30,.53846157
Guido Pella,0-40,.83333331
Guido Pella,15-0,.66666669
Guido Pella,15-15,.65517241
Guido Pella,15-30,.70588237
Guido Pella,15-40,.60000002
Guido Pella,30-0,.80000001
Guido Pella,30-15,.68000001
Guido Pella,30-30,.60000002
Guido Pella,30-40,.78571427
Guido Pella,40-0,.79166669
Guido Pella,40-15,.63636363
Guido Pella,40-30,.80000001
Guido Pella,40-40,.46666667
Guido Pella,40-50,.6875
Guido Pella,50-40,.71428573
Yasutaka Uchiyama,0-0,.63157892
Yasutaka Uchiyama,0-15,.85714287
Yasutaka Uchiyama,0-30,1
Yasutaka Uchiyama,15-0,.41666666
Yasutaka Uchiyama,15-15,.53846157
Yasutaka Uchiyama,15-30,.71428573
Yasutaka Uchiyama,15-40,0
Yasutaka Uchiyama,30-0,.80000001
Yasutaka Uchiyama,30-15,.75
Yasutaka Uchiyama,30-30,.5714286
Yasutaka Uchiyama,30-40,.33333334
Yasutaka Uchiyama,40-0,.75
Yasutaka Uchiyama,40-15,1
Yasutaka Uchiyama,40-30,.5
Yasutaka Uchiyama,40-40,.5
Yasutaka Uchiyama,40-50,.5
Yasutaka Uchiyama,50-40,1
Marcel Granollers,0-0,.63742691
Marcel Granollers,0-15,.62903225
Marcel Granollers,0-30,.54347825
Marcel Granollers,0-40,.61904764
Marcel Granollers,15-0,.64678901
Marcel Granollers,15-15,.58064514
Marcel Granollers,15-30,.63333333
Marcel Granollers,15-40,.63043481
Marcel Granollers,30-0,.68794328
Marcel Granollers,30-15,.61194032
Marcel Granollers,30-30,.60550457
Marcel Granollers,30-40,.58333331
Marcel Granollers,40-0,.6082474
Marcel Granollers,40-15,.625
Marcel Granollers,40-30,.56756759
Marcel Granollers,40-40,.65562916
Marcel Granollers,40-50,.55769229
Marcel Granollers,50-40,.67676765
Matteo Trevisan,0-0,.64285713
Matteo Trevisan,0-15,1
Matteo Trevisan,15-0,.44444445
Matteo Trevisan,15-15,.69999999
Matteo Trevisan,15-30,.33333334
Matteo Trevisan,15-40,0
Matteo Trevisan,30-0,.5
Matteo Trevisan,30-15,.44444445
Matteo Trevisan,30-30,.5
Matteo Trevisan,30-40,.33333334
Matteo Trevisan,40-0,.5
Matteo Trevisan,40-15,.60000002
Matteo Trevisan,40-30,.60000002
Matteo Trevisan,40-40,.60000002
Matteo Trevisan,40-50,.5
Matteo Trevisan,50-40,.66666669
Benjamin Balleret,0-0,.44444445
Benjamin Balleret,0-15,.60000002
Benjamin Balleret,0-30,.5
Benjamin Balleret,0-40,0
Benjamin Balleret,15-0,1
Benjamin Balleret,15-15,1
Benjamin Balleret,15-30,0
Benjamin Balleret,15-40,1
Benjamin Balleret,30-0,.25
Benjamin Balleret,30-15,.83333331
Benjamin Balleret,30-30,0
Benjamin Balleret,30-40,0
Benjamin Balleret,40-0,1
Benjamin Balleret,40-15,.80000001
Benjamin Balleret,40-30,0
Benjamin Balleret,40-40,0
Benjamin Balleret,40-50,.5
Konstantin Kravchuk,0-0,.86666667
Konstantin Kravchuk,0-15,.5
Konstantin Kravchuk,0-30,1
Konstantin Kravchuk,15-0,.53846157
Konstantin Kravchuk,15-15,.85714287
Konstantin Kravchuk,15-30,.5
Konstantin Kravchuk,15-40,1
Konstantin Kravchuk,30-0,.71428573
Konstantin Kravchuk,30-15,.875
Konstantin Kravchuk,30-30,.5
Konstantin Kravchuk,30-40,.5
Konstantin Kravchuk,40-0,1
Konstantin Kravchuk,40-15,.42857143
Konstantin Kravchuk,40-30,.40000001
Konstantin Kravchuk,40-40,.5
Konstantin Kravchuk,40-50,.71428573
Konstantin Kravchuk,50-40,.2857143
John Isner,0-0,.70856506
John Isner,0-15,.7442748
John Isner,0-30,.68656719
John Isner,0-40,.66666669
John Isner,15-0,.72684461
John Isner,15-15,.72357726
John Isner,15-30,.78378379
John Isner,15-40,.63043481
John Isner,30-0,.72570193
John Isner,30-15,.75888324
John Isner,30-30,.68720376
John Isner,30-40,.82105261
John Isner,40-0,.72916669
John Isner,40-15,.70512819
John Isner,40-30,.79230767
John Isner,40-40,.71291864
John Isner,40-50,.58333331
John Isner,50-40,.71812081
Jose Hernandez-Fernandez,0-0,.41666666
Jose Hernandez-Fernandez,0-15,.42857143
Jose Hernandez-Fernandez,0-30,.5
Jose Hernandez-Fernandez,0-40,0
Jose Hernandez-Fernandez,15-0,.40000001
Jose Hernandez-Fernandez,15-15,.33333334
Jose Hernandez-Fernandez,15-30,.5
Jose Hernandez-Fernandez,15-40,.66666669
Jose Hernandez-Fernandez,30-0,.5
Jose Hernandez-Fernandez,30-15,.66666669
Jose Hernandez-Fernandez,30-30,.5
Jose Hernandez-Fernandez,30-40,.5
Jose Hernandez-Fernandez,40-0,1
Jose Hernandez-Fernandez,40-15,1
Jose Hernandez-Fernandez,40-30,.5
Jose Hernandez-Fernandez,40-40,.2
Jose Hernandez-Fernandez,40-50,.25
Jose Hernandez-Fernandez,50-40,0
Daniel Brands,0-0,.65625
Daniel Brands,0-15,.54545456
Daniel Brands,0-30,.80000001
Daniel Brands,0-40,1
Daniel Brands,15-0,.66666669
Daniel Brands,15-15,.76923078
Daniel Brands,15-30,.42857143
Daniel Brands,15-40,.60000002
Daniel Brands,30-0,.85714287
Daniel Brands,30-15,.5
Daniel Brands,30-30,.8888889
Daniel Brands,30-40,.25
Daniel Brands,40-0,.83333331
Daniel Brands,40-15,.875
Daniel Brands,40-30,.55555558
Daniel Brands,40-40,.66666669
Daniel Brands,40-50,.5
Daniel Brands,50-40,1
Federico Gaio,0-0,.66666669
Federico Gaio,0-15,.33333334
Federico Gaio,0-30,.5
Federico Gaio,0-40,0
Federico Gaio,15-0,1
Federico Gaio,15-15,0
Federico Gaio,15-30,1
Federico Gaio,30-0,.5
Federico Gaio,30-15,1
Federico Gaio,30-30,.5
Federico Gaio,30-40,0
Federico Gaio,40-0,.33333334
Federico Gaio,40-15,.80000001
Federico Gaio,40-30,.5
Federico Gaio,40-40,.5
Federico Gaio,40-50,0
Federico Gaio,50-40,0
Roger Federer,0-0,.73152709
Roger Federer,0-15,.72018349
Roger Federer,0-30,.70491803
Roger Federer,0-40,.66666669
Roger Federer,15-0,.69528621
Roger Federer,15-15,.72189349
Roger Federer,15-30,.70072991
Roger Federer,15-40,.66037738
Roger Federer,30-0,.72154963
Roger Federer,30-15,.67688024
Roger Federer,30-30,.76415092
Roger Federer,30-40,.71764708
Roger Federer,40-0,.68120807
Roger Federer,40-15,.70118344
Roger Federer,40-30,.71863121
Roger Federer,40-40,.69777775
Roger Federer,40-50,.63235295
Roger Federer,50-40,.70063692
Daniel Munoz-De La Nava,0-0,.73333335
Daniel Munoz-De La Nava,0-15,.5
Daniel Munoz-De La Nava,0-30,1
Daniel Munoz-De La Nava,15-0,.63636363
Daniel Munoz-De La Nava,15-15,.83333331
Daniel Munoz-De La Nava,15-30,.66666669
Daniel Munoz-De La Nava,15-40,0
Daniel Munoz-De La Nava,30-0,.2857143
Daniel Munoz-De La Nava,30-15,.69999999
Daniel Munoz-De La Nava,30-30,.80000001
Daniel Munoz-De La Nava,30-40,1
Daniel Munoz-De La Nava,40-0,.5
Daniel Munoz-De La Nava,40-15,1
Daniel Munoz-De La Nava,40-30,.5
Daniel Munoz-De La Nava,40-40,.66666669
Daniel Munoz-De La Nava,40-50,.5
Daniel Munoz-De La Nava,50-40,.5
Toni Androic,0-0,.52173913
Toni Androic,0-15,.54545456
Toni Androic,0-30,.60000002
Toni Androic,0-40,.5
Toni Androic,15-0,.83333331
Toni Androic,15-15,.625
Toni Androic,15-30,.66666669
Toni Androic,15-40,.33333334
Toni Androic,30-0,.5
Toni Androic,30-15,.60000002
Toni Androic,30-30,.875
Toni Androic,30-40,0
Toni Androic,40-0,.60000002
Toni Androic,40-15,.625
Toni Androic,40-30,.60000002
Toni Androic,40-40,.625
Toni Androic,40-50,.66666669
Toni Androic,50-40,.60000002
Giovanni Lapentti,0-0,.64285713
Giovanni Lapentti,0-15,.60000002
Giovanni Lapentti,0-30,.5
Giovanni Lapentti,0-40,1
Giovanni Lapentti,15-0,.77777779
Giovanni Lapentti,15-15,.80000001
Giovanni Lapentti,15-30,.5
Giovanni Lapentti,15-40,1
Giovanni Lapentti,30-0,.5714286
Giovanni Lapentti,30-15,.2857143
Giovanni Lapentti,30-30,.66666669
Giovanni Lapentti,30-40,1
Giovanni Lapentti,40-0,.5
Giovanni Lapentti,40-15,1
Giovanni Lapentti,40-30,0
Giovanni Lapentti,40-40,.73333335
Giovanni Lapentti,40-50,.5
Giovanni Lapentti,50-40,.54545456
Rhyne Williams,0-0,.375
Rhyne Williams,0-15,.80000001
Rhyne Williams,0-30,1
Rhyne Williams,15-0,.66666669
Rhyne Williams,15-15,.60000002
Rhyne Williams,15-30,.66666669
Rhyne Williams,15-40,0
Rhyne Williams,30-0,.5
Rhyne Williams,30-15,.75
Rhyne Williams,30-30,0
Rhyne Williams,30-40,.33333334
Rhyne Williams,40-0,0
Rhyne Williams,40-15,.25
Rhyne Williams,40-30,.66666669
Rhyne Williams,40-40,.5
Rhyne Williams,40-50,0
Rhyne Williams,50-40,1
Yuichi Sugita,0-0,.58490568
Yuichi Sugita,0-15,.59090906
Yuichi Sugita,0-30,.5
Yuichi Sugita,0-40,.55555558
Yuichi Sugita,15-0,.54838711
Yuichi Sugita,15-15,.66666669
Yuichi Sugita,15-30,.48148149
Yuichi Sugita,15-40,.63157892
Yuichi Sugita,30-0,.55882353
Yuichi Sugita,30-15,.60784316
Yuichi Sugita,30-30,.75757575
Yuichi Sugita,30-40,.55000001
Yuichi Sugita,40-0,.84210527
Yuichi Sugita,40-15,.67647058
Yuichi Sugita,40-30,.6388889
Yuichi Sugita,40-40,.66666669
Yuichi Sugita,40-50,.64705884
Yuichi Sugita,50-40,.52941179
Milos Raonic,0-0,.75420874
Milos Raonic,0-15,.68493152
Milos Raonic,0-30,.69565219
Milos Raonic,0-40,.5714286
Milos Raonic,15-0,.7254464
Milos Raonic,15-15,.73094171
Milos Raonic,15-30,.75
Milos Raonic,15-40,.77419353
Milos Raonic,30-0,.71384615
Milos Raonic,30-15,.71875
Milos Raonic,30-30,.70212764
Milos Raonic,30-40,.86363637
Milos Raonic,40-0,.73706895
Milos Raonic,40-15,.69387758
Milos Raonic,40-30,.74712646
Milos Raonic,40-40,.72611463
Milos Raonic,40-50,.6511628
Milos Raonic,50-40,.75438595
Noah Rubin,0-0,.80000001
Noah Rubin,0-15,.66666669
Noah Rubin,0-30,1
Noah Rubin,15-0,.66666669
Noah Rubin,15-15,.83333331
Noah Rubin,15-30,.5
Noah Rubin,15-40,1
Noah Rubin,30-0,.625
Noah Rubin,30-15,.375
Noah Rubin,30-30,.83333331
Noah Rubin,30-40,.5
Noah Rubin,40-0,.80000001
Noah Rubin,40-15,.5
Noah Rubin,40-30,.85714287
Noah Rubin,40-40,1
Noah Rubin,50-40,.66666669
Vincent Millot,0-0,.65625
Vincent Millot,0-15,.63636363
Vincent Millot,0-30,.625
Vincent Millot,0-40,.66666669
Vincent Millot,15-0,.69047618
Vincent Millot,15-15,.7037037
Vincent Millot,15-30,.53846157
Vincent Millot,15-40,.75
Vincent Millot,30-0,.62068963
Vincent Millot,30-15,.53333336
Vincent Millot,30-30,.61904764
Vincent Millot,30-40,.5
Vincent Millot,40-0,.72222221
Vincent Millot,40-15,.76190478
Vincent Millot,40-30,.6111111
Vincent Millot,40-40,.69999999
Vincent Millot,40-50,.33333334
Vincent Millot,50-40,.71428573
Gastao Elias,0-0,.6111111
Gastao Elias,0-15,.42857143
Gastao Elias,0-30,.75
Gastao Elias,0-40,0
Gastao Elias,15-0,.63636363
Gastao Elias,15-15,.64285713
Gastao Elias,15-30,.63636363
Gastao Elias,15-40,1
Gastao Elias,30-0,.71428573
Gastao Elias,30-15,.61538464
Gastao Elias,30-30,.75
Gastao Elias,30-40,.2857143
Gastao Elias,40-0,.60000002
Gastao Elias,40-15,.58333331
Gastao Elias,40-30,.5714286
Gastao Elias,40-40,.70588237
Gastao Elias,40-50,.40000001
Gastao Elias,50-40,.41666666
Samuel Groth,0-0,.67793238
Samuel Groth,0-15,.74074072
Samuel Groth,0-30,.5714286
Samuel Groth,0-40,.66666669
Samuel Groth,15-0,.67741936
Samuel Groth,15-15,.65652174
Samuel Groth,15-30,.64077669
Samuel Groth,15-40,.5714286
Samuel Groth,30-0,.74025977
Samuel Groth,30-15,.7014218
Samuel Groth,30-30,.6511628
Samuel Groth,30-40,.72602737
Samuel Groth,40-0,.76608187
Samuel Groth,40-15,.65957445
Samuel Groth,40-30,.75
Samuel Groth,40-40,.65454543
Samuel Groth,40-50,.75438595
Samuel Groth,50-40,.7037037
Dusan Lajovic,0-0,.64423078
Dusan Lajovic,0-15,.60135138
Dusan Lajovic,0-30,.57627118
Dusan Lajovic,0-40,.68000001
Dusan Lajovic,15-0,.63805968
Dusan Lajovic,15-15,.62365592
Dusan Lajovic,15-30,.58653843
Dusan Lajovic,15-40,.66666669
Dusan Lajovic,30-0,.61403507
Dusan Lajovic,30-15,.6098901
Dusan Lajovic,30-30,.62121212
Dusan Lajovic,30-40,.62222224
Dusan Lajovic,40-0,.62857145
Dusan Lajovic,40-15,.64666665
Dusan Lajovic,40-30,.65925926
Dusan Lajovic,40-40,.65193373
Dusan Lajovic,40-50,.50793654
Dusan Lajovic,50-40,.60169494
Ante Pavic,0-0,.69999999
Ante Pavic,0-15,.77777779
Ante Pavic,0-30,.5
Ante Pavic,0-40,0
Ante Pavic,15-0,.66666669
Ante Pavic,15-15,.42857143
Ante Pavic,15-30,.77777779
Ante Pavic,15-40,1
Ante Pavic,30-0,.71428573
Ante Pavic,30-15,.40000001
Ante Pavic,30-30,.61538464
Ante Pavic,30-40,.5714286
Ante Pavic,40-0,.69999999
Ante Pavic,40-15,.2857143
Ante Pavic,40-30,.46153846
Ante Pavic,40-40,.69565219
Ante Pavic,40-50,.5714286
Ante Pavic,50-40,.5
Di Wu,0-0,.61290324
Di Wu,0-15,.41666666
Di Wu,0-30,.71428573
Di Wu,0-40,.5
Di Wu,15-0,.42105263
Di Wu,15-15,.5
Di Wu,15-30,.38461539
Di Wu,15-40,.44444445
Di Wu,30-0,.375
Di Wu,30-15,.46153846
Di Wu,30-30,.33333334
Di Wu,30-40,.5
Di Wu,40-0,.66666669
Di Wu,40-15,.71428573
Di Wu,40-30,.33333334
Di Wu,40-40,.63157892
Di Wu,40-50,.5714286
Di Wu,50-40,.58333331
Fernando Verdasco,0-0,.63343108
Fernando Verdasco,0-15,.65600002
Fernando Verdasco,0-30,.60465115
Fernando Verdasco,0-40,.70588237
Fernando Verdasco,15-0,.69907409
Fernando Verdasco,15-15,.65646261
Fernando Verdasco,15-30,.66013074
Fernando Verdasco,15-40,.60526317
Fernando Verdasco,30-0,.6754967
Fernando Verdasco,30-15,.63573885
Fernando Verdasco,30-30,.63285023
Fernando Verdasco,30-40,.68032789
Fernando Verdasco,40-0,.7352941
Fernando Verdasco,40-15,.60251045
Fernando Verdasco,40-30,.6681416
Fernando Verdasco,40-40,.64583331
Fernando Verdasco,40-50,.63725489
Fernando Verdasco,50-40,.65053761
Deiton Baughman,0-0,.46153846
Deiton Baughman,0-15,.42857143
Deiton Baughman,0-30,.75
Deiton Baughman,0-40,0
