returnername,gamescore,returnPointProbability_top20,opponentScore,playerscore
Andrey Kuznetsov,15-30,.3125,1,2
Andrey Kuznetsov,15-40,.5,1,3
Andrey Kuznetsov,30-0,.29032257,2,0
Andrey Kuznetsov,30-15,.28125,2,1
Andrey Kuznetsov,30-30,.34999999,2,2
Andrey Kuznetsov,30-40,.30000001,2,3
Andrey Kuznetsov,40-0,.18181819,3,0
Andrey Kuznetsov,40-15,.44444445,3,1
Andrey Kuznetsov,40-30,.28,3,2
Andrey Kuznetsov,40-40,.25,3,3
Andrey Kuznetsov,40-50,.16666667,3,4
Andrey Kuznetsov,50-40,.27777779,4,3
Andrey Rublev,0-0,.16071428,0,0
Andrey Rublev,0-15,.22222222,0,1
Andrey Rublev,0-30,0,0,2
Andrey Rublev,15-0,.25531915,1,0
Andrey Rublev,15-15,.31578946,1,1
Andrey Rublev,15-30,.5,1,2
Andrey Rublev,15-40,.5,1,3
Andrey Rublev,30-0,.2,2,0
Andrey Rublev,30-15,.25,2,1
Andrey Rublev,30-30,.22222222,2,2
Andrey Rublev,30-40,0,2,3
Andrey Rublev,40-0,.2857143,3,0
Andrey Rublev,40-15,.17391305,3,1
Andrey Rublev,40-30,.45454547,3,2
Andrey Rublev,40-40,.083333336,3,3
Andrey Rublev,40-50,0,3,4
Andrey Rublev,50-40,.18181819,4,3
Andy Murray,0-0,.42091152,0,0
Andy Murray,0-15,.46496814,0,1
Andy Murray,0-30,.43835616,0,2
Andy Murray,0-40,.375,0,3
Andy Murray,15-0,.3888889,1,0
Andy Murray,15-15,.38690478,1,1
Andy Murray,15-30,.39622641,1,2
Andy Murray,15-40,.46774194,1,3
Andy Murray,30-0,.31060606,2,0
Andy Murray,30-15,.30555555,2,1
Andy Murray,30-30,.39814815,2,2
Andy Murray,30-40,.35526314,2,3
Andy Murray,40-0,.35164836,3,0
Andy Murray,40-15,.40151516,3,1
Andy Murray,40-30,.38135594,3,2
Andy Murray,40-40,.38124999,3,3
Andy Murray,40-50,.47540984,3,4
Andy Murray,50-40,.34343433,4,3
Austin Krajicek,0-0,.27419356,0,0
Austin Krajicek,0-15,.35294119,0,1
Austin Krajicek,0-30,.33333334,0,2
Austin Krajicek,0-40,.5,0,3
Austin Krajicek,15-0,.31111112,1,0
Austin Krajicek,15-15,.16,1,1
Austin Krajicek,15-30,.125,1,2
Austin Krajicek,15-40,0,1,3
Austin Krajicek,30-0,.12903225,2,0
Austin Krajicek,30-15,.31999999,2,1
Austin Krajicek,30-30,.33333334,2,2
Austin Krajicek,30-40,.14285715,2,3
Austin Krajicek,40-0,.2962963,3,0
Austin Krajicek,40-15,.16,3,1
Austin Krajicek,40-30,.21428572,3,2
Austin Krajicek,40-40,.33333334,3,3
Austin Krajicek,40-50,.33333334,3,4
Austin Krajicek,50-40,.41666666,4,3
Bastian Trinker,0-0,.14285715,0,0
Bastian Trinker,0-15,0,0,1
Bastian Trinker,15-0,0,1,0
Bastian Trinker,15-15,0,1,1
Bastian Trinker,30-0,.16666667,2,0
Bastian Trinker,30-15,.5,2,1
Bastian Trinker,30-30,1,2,2
Bastian Trinker,30-40,0,2,3
Bastian Trinker,40-0,.60000002,3,0
Bastian Trinker,40-15,.25,3,1
Bastian Trinker,40-30,0,3,2
Bastian Trinker,40-40,0,3,3
Bastian Trinker,50-40,0,4,3
Benjamin Balleret,0-0,.33333334,0,0
Benjamin Balleret,0-15,.66666669,0,1
Benjamin Balleret,0-30,0,0,2
Benjamin Balleret,15-0,.33333334,1,0
Benjamin Balleret,15-15,0,1,1
Benjamin Balleret,15-30,0,1,2
Benjamin Balleret,30-0,.5,2,0
Benjamin Balleret,30-15,.2,2,1
Benjamin Balleret,30-30,.33333334,2,2
Benjamin Balleret,30-40,1,2,3
Benjamin Balleret,40-0,.5,3,0
Benjamin Balleret,40-15,.40000001,3,1
Benjamin Balleret,40-30,.25,3,2
Benjamin Balleret,40-40,.5,3,3
Benjamin Balleret,40-50,0,3,4
Benjamin Balleret,50-40,0,4,3
Benjamin Becker,0-0,.46551725,0,0
Benjamin Becker,0-15,.33333334,0,1
Benjamin Becker,0-30,.22222222,0,2
Benjamin Becker,0-40,0,0,3
Benjamin Becker,15-0,.3548387,1,0
Benjamin Becker,15-15,.48275861,1,1
Benjamin Becker,15-30,.095238097,1,2
Benjamin Becker,15-40,.5,1,3
Benjamin Becker,30-0,.34999999,2,0
Benjamin Becker,30-15,.5,2,1
Benjamin Becker,30-30,.13333334,2,2
Benjamin Becker,30-40,.16666667,2,3
Benjamin Becker,40-0,.23076923,3,0
Benjamin Becker,40-15,.35714287,3,1
Benjamin Becker,40-30,.29032257,3,2
Benjamin Becker,40-40,.41379312,3,3
Benjamin Becker,40-50,.16666667,3,4
Benjamin Becker,50-40,.29411766,4,3
Benoit Paire,0-0,.31111112,0,0
Benoit Paire,0-15,.30952382,0,1
Benoit Paire,0-30,.07692308,0,2
Benoit Paire,0-40,1,0,3
Benoit Paire,15-0,.44086021,1,0
Benoit Paire,15-15,.31428573,1,1
Benoit Paire,15-30,.38235295,1,2
Benoit Paire,15-40,.46153846,1,3
Benoit Paire,30-0,.30769232,2,0
Benoit Paire,30-15,.296875,2,1
Benoit Paire,30-30,.32499999,2,2
Benoit Paire,30-40,.40000001,2,3
Benoit Paire,40-0,.27777779,3,0
Benoit Paire,40-15,.34545454,3,1
Benoit Paire,40-30,.30434781,3,2
Benoit Paire,40-40,.40350878,3,3
Benoit Paire,40-50,.39130434,3,4
Benoit Paire,50-40,.5,4,3
Bernard Tomic,0-0,.30054644,0,0
Bernard Tomic,0-15,.29090908,0,1
Bernard Tomic,0-30,.1875,0,2
Bernard Tomic,0-40,0,0,3
Bernard Tomic,15-0,.3671875,1,0
Bernard Tomic,15-15,.24418604,1,1
Bernard Tomic,15-30,.29411766,1,2
Bernard Tomic,15-40,.15384616,1,3
Bernard Tomic,30-0,.2345679,2,0
Bernard Tomic,30-15,.32142857,2,1
Bernard Tomic,30-30,.23529412,2,2
Bernard Tomic,30-40,.39130434,2,3
Bernard Tomic,40-0,.22580644,3,0
Bernard Tomic,40-15,.21126761,3,1
Bernard Tomic,40-30,.42592594,3,2
Bernard Tomic,40-40,.29850745,3,3
Bernard Tomic,40-50,.40000001,3,4
Bernard Tomic,50-40,.38297874,4,3
Blaz Kavcic,0-0,.36000001,0,0
Blaz Kavcic,0-15,.11111111,0,1
Blaz Kavcic,0-30,0,0,2
Blaz Kavcic,15-0,.4375,1,0
Blaz Kavcic,15-15,.13333334,1,1
Blaz Kavcic,15-30,.33333334,1,2
Blaz Kavcic,15-40,1,1,3
Blaz Kavcic,30-0,.44444445,2,0
Blaz Kavcic,30-15,.29411766,2,1
Blaz Kavcic,30-30,.2857143,2,2
Blaz Kavcic,30-40,.5,2,3
Blaz Kavcic,40-0,0,3,0
Blaz Kavcic,40-15,.16666667,3,1
Blaz Kavcic,40-30,.2857143,3,2
Blaz Kavcic,40-40,.2857143,3,3
Blaz Kavcic,40-50,.5,3,4
Blaz Kavcic,50-40,.60000002,4,3
Borna Coric,0-0,.32727271,0,0
Borna Coric,0-15,.22222222,0,1
Borna Coric,0-30,.41666666,0,2
Borna Coric,0-40,.2,0,3
Borna Coric,15-0,.27027026,1,0
Borna Coric,15-15,.34722221,1,1
Borna Coric,15-30,.125,1,2
Borna Coric,15-40,.5,1,3
Borna Coric,30-0,.32098764,2,0
Borna Coric,30-15,.26027396,2,1
Borna Coric,30-30,.19148937,2,2
Borna Coric,30-40,.30769232,2,3
Borna Coric,40-0,.27272728,3,0
Borna Coric,40-15,.24637681,3,1
Borna Coric,40-30,.21818182,3,2
Borna Coric,40-40,.43243244,3,3
Borna Coric,40-50,.4375,3,4
Borna Coric,50-40,.33333334,4,3
Carlos Berlocq,0-0,.28813559,0,0
Carlos Berlocq,0-15,.35294119,0,1
Carlos Berlocq,0-30,.33333334,0,2
Carlos Berlocq,0-40,1,0,3
Carlos Berlocq,15-0,.42857143,1,0
Carlos Berlocq,15-15,.31034482,1,1
Carlos Berlocq,15-30,.15384616,1,2
Carlos Berlocq,15-40,.5,1,3
Carlos Berlocq,30-0,.375,2,0
Carlos Berlocq,30-15,.31034482,2,1
Carlos Berlocq,30-30,.2,2,2
Carlos Berlocq,30-40,.2,2,3
Carlos Berlocq,40-0,.46666667,3,0
Carlos Berlocq,40-15,.2962963,3,1
Carlos Berlocq,40-30,.375,3,2
Carlos Berlocq,40-40,.18181819,3,3
Carlos Berlocq,40-50,.25,3,4
Carlos Berlocq,50-40,.33333334,4,3
Christian Lindell,0-0,.083333336,0,0
Christian Lindell,0-15,0,0,1
Christian Lindell,15-0,.27272728,1,0
Christian Lindell,15-15,.25,1,1
Christian Lindell,15-30,0,1,2
Christian Lindell,30-0,.25,2,0
Christian Lindell,30-15,.2,2,1
Christian Lindell,30-30,.5,2,2
Christian Lindell,30-40,0,2,3
Christian Lindell,40-0,0,3,0
Christian Lindell,40-15,.25,3,1
Christian Lindell,40-30,.5,3,2
Christian Lindell,40-40,0,3,3
Christian Lindell,50-40,.33333334,4,3
Damir Dzumhur,0-0,.27083334,0,0
Damir Dzumhur,0-15,.15384616,0,1
Damir Dzumhur,0-30,0,0,2
Damir Dzumhur,15-0,.2857143,1,0
Damir Dzumhur,15-15,.38095239,1,1
Damir Dzumhur,15-30,.5,1,2
Damir Dzumhur,15-40,0,1,3
Damir Dzumhur,30-0,.23999999,2,0
Damir Dzumhur,30-15,.31578946,2,1
Damir Dzumhur,30-30,.27272728,2,2
Damir Dzumhur,30-40,.375,2,3
Damir Dzumhur,40-0,.36842105,3,0
Damir Dzumhur,40-15,.30000001,3,1
Damir Dzumhur,40-30,.21428572,3,2
Damir Dzumhur,40-40,.2857143,3,3
Damir Dzumhur,40-50,.75,3,4
Damir Dzumhur,50-40,.5,4,3
Daniel Gimeno-Traver,0-0,.32876712,0,0
Daniel Gimeno-Traver,0-15,.33333334,0,1
Daniel Gimeno-Traver,0-30,.625,0,2
Daniel Gimeno-Traver,0-40,.2,0,3
Daniel Gimeno-Traver,15-0,.34693879,1,0
Daniel Gimeno-Traver,15-15,.33333334,1,1
Daniel Gimeno-Traver,15-30,.2857143,1,2
Daniel Gimeno-Traver,15-40,.5,1,3
Daniel Gimeno-Traver,30-0,.40625,2,0
Daniel Gimeno-Traver,30-15,.31428573,2,1
Daniel Gimeno-Traver,30-30,.23809524,2,2
Daniel Gimeno-Traver,30-40,.22222222,2,3
Daniel Gimeno-Traver,40-0,.47368422,3,0
Daniel Gimeno-Traver,40-15,.33333334,3,1
Daniel Gimeno-Traver,40-30,.22222222,3,2
Daniel Gimeno-Traver,40-40,.33333334,3,3
Daniel Gimeno-Traver,40-50,.42857143,3,4
Daniel Gimeno-Traver,50-40,.2857143,4,3
David Ferrer,0-0,.40069687,0,0
David Ferrer,0-15,.47826087,0,1
David Ferrer,0-30,.41818181,0,2
David Ferrer,0-40,.47826087,0,3
David Ferrer,15-0,.39534885,1,0
David Ferrer,15-15,.328125,1,1
David Ferrer,15-30,.45945945,1,2
David Ferrer,15-40,.32608697,1,3
David Ferrer,30-0,.39423078,2,0
David Ferrer,30-15,.4566929,2,1
David Ferrer,30-30,.37755102,2,2
