"","Topn","Gamescore","Breaks","Frequency"
"496",75,"0-15",0.075,0
"497",75,"0-15",0.1,0
"498",75,"0-15",0.125,0
"499",75,"0-15",0.15,0
"500",75,"0-15",0.175,1
"501",75,"0-15",0.2,0
"502",75,"0-15",0.225,3
"503",75,"0-15",0.25,2
"504",75,"0-15",0.275,6
"505",75,"0-15",0.3,12
"506",75,"0-15",0.325,27
"507",75,"0-15",0.35,48
"508",75,"0-15",0.375,38
"509",75,"0-15",0.4,20
"510",75,"0-15",0.425,16
"511",75,"0-15",0.45,8
"512",75,"0-15",0.475,5
"513",75,"0-15",0.5,1
"514",75,"0-15",0.525,0
"515",75,"0-15",0.55,0
"516",75,"0-15",0.575,1
"517",75,"0-15",0.6,0
"518",75,"0-15",0.625,0
"519",75,"0-15",0.65,0
"520",75,"0-15",0.675,0
"521",75,"0-30",0.05,0
"522",75,"0-30",0.075,0
"523",75,"0-30",0.1,0
"524",75,"0-30",0.125,0
"525",75,"0-30",0.15,0
"526",75,"0-30",0.175,0
"527",75,"0-30",0.2,0
"528",75,"0-30",0.225,0
"529",75,"0-30",0.25,4
"530",75,"0-30",0.275,4
"531",75,"0-30",0.3,10
"532",75,"0-30",0.325,15
"533",75,"0-30",0.35,29
"534",75,"0-30",0.375,16
"535",75,"0-30",0.4,22
"536",75,"0-30",0.425,12
"537",75,"0-30",0.45,16
"538",75,"0-30",0.475,5
"539",75,"0-30",0.5,1
"540",75,"0-30",0.525,1
"541",75,"0-30",0.55,0
"542",75,"0-30",0.575,0
"543",75,"0-30",0.6,0
"544",75,"0-30",0.625,0
"545",75,"0-30",0.65,0
"546",75,"0-30",0.675,0
"547",75,"0-40",0.05,0
"548",75,"0-40",0.075,0
"549",75,"0-40",0.1,0
"550",75,"0-40",0.125,0
"551",75,"0-40",0.15,0
"552",75,"0-40",0.175,0
"553",75,"0-40",0.2,0
"554",75,"0-40",0.225,2
"555",75,"0-40",0.25,1
"556",75,"0-40",0.275,3
"557",75,"0-40",0.3,8
"558",75,"0-40",0.325,6
"559",75,"0-40",0.35,5
"560",75,"0-40",0.375,8
"561",75,"0-40",0.4,8
"562",75,"0-40",0.425,23
"563",75,"0-40",0.45,8
"564",75,"0-40",0.475,6
"565",75,"0-40",0.5,1
"566",75,"0-40",0.525,3
"567",75,"0-40",0.55,0
"568",75,"0-40",0.575,1
"569",75,"0-40",0.6,0
"570",75,"0-40",0.625,0
"571",75,"0-40",0.65,0
"572",75,"0-40",0.675,0
"573",75,"15-0",0.05,0
"574",75,"15-0",0.075,0
"575",75,"15-0",0.1,0
"576",75,"15-0",0.125,2
"577",75,"15-0",0.15,0
"578",75,"15-0",0.175,0
"579",75,"15-0",0.2,1
"580",75,"15-0",0.225,3
"581",75,"15-0",0.25,6
"582",75,"15-0",0.275,10
"583",75,"15-0",0.3,24
"584",75,"15-0",0.325,50
"585",75,"15-0",0.35,59
"586",75,"15-0",0.375,35
"587",75,"15-0",0.4,15
"588",75,"15-0",0.425,5
"589",75,"15-0",0.45,3
"590",75,"15-0",0.475,1
"591",75,"15-0",0.5,0
"592",75,"15-0",0.525,0
"593",75,"15-0",0.55,0
"594",75,"15-0",0.575,0
"595",75,"15-0",0.6,0
"596",75,"15-0",0.625,0
"597",75,"15-0",0.65,0
"598",75,"15-0",0.675,0
"599",75,"15-15",0.05,0
"600",75,"15-15",0.075,0
"601",75,"15-15",0.1,0
"602",75,"15-15",0.125,0
"603",75,"15-15",0.15,0
"604",75,"15-15",0.175,0
"605",75,"15-15",0.2,3
"606",75,"15-15",0.225,3
"607",75,"15-15",0.25,4
"608",75,"15-15",0.275,12
"609",75,"15-15",0.3,27
"610",75,"15-15",0.325,44
"611",75,"15-15",0.35,43
"612",75,"15-15",0.375,35
"613",75,"15-15",0.4,17
"614",75,"15-15",0.425,8
"615",75,"15-15",0.45,2
"616",75,"15-15",0.475,0
"617",75,"15-15",0.5,0
"618",75,"15-15",0.525,0
"619",75,"15-15",0.55,0
"620",75,"15-15",0.575,0
"621",75,"15-15",0.6,0
"622",75,"15-15",0.625,0
"623",75,"15-15",0.65,0
"624",75,"15-15",0.675,0
"625",75,"15-30",0.05,0
"626",75,"15-30",0.075,0
"627",75,"15-30",0.1,0
"628",75,"15-30",0.125,0
"629",75,"15-30",0.15,0
"630",75,"15-30",0.175,1
"631",75,"15-30",0.2,2
"632",75,"15-30",0.225,0
"633",75,"15-30",0.25,4
"634",75,"15-30",0.275,2
"635",75,"15-30",0.3,11
"636",75,"15-30",0.325,27
"637",75,"15-30",0.35,32
"638",75,"15-30",0.375,31
"639",75,"15-30",0.4,30
"640",75,"15-30",0.425,10
"641",75,"15-30",0.45,8
"642",75,"15-30",0.475,1
"643",75,"15-30",0.5,0
"644",75,"15-30",0.525,4
"645",75,"15-30",0.55,0
"646",75,"15-30",0.575,0
"647",75,"15-30",0.6,0
"648",75,"15-30",0.625,0
"649",75,"15-30",0.65,0
"650",75,"15-30",0.675,0
"651",75,"15-40",0.05,0
"652",75,"15-40",0.075,0
"653",75,"15-40",0.1,0
"654",75,"15-40",0.125,0
"655",75,"15-40",0.15,0
