returnername,gamescore,returnPointProbability,returnPointFreq,opponentScore,playerScore
Luca Vanni,30-0,.3255814,86,2,0
Luca Vanni,30-15,.36470589,85,2,1
Luca Vanni,30-30,.2962963,54,2,2
Luca Vanni,30-40,.39130434,23,2,3
Luca Vanni,40-0,.25862068,58,3,0
Luca Vanni,40-15,.36231884,69,3,1
Luca Vanni,40-30,.25396827,63,3,2
Luca Vanni,40-40,.36000001,50,3,3
Luca Vanni,40-50,.33333334,18,3,4
Luca Vanni,50-40,.25,32,4,3
Peter Gojowczyk,0-0,.44444445,27,0,0
Peter Gojowczyk,0-15,.16666667,12,0,1
Peter Gojowczyk,0-30,.5,2,0,2
Peter Gojowczyk,0-40,1,1,0,3
Peter Gojowczyk,15-0,.40000001,15,1,0
Peter Gojowczyk,15-15,.4375,16,1,1
Peter Gojowczyk,15-30,.125,8,1,2
Peter Gojowczyk,15-40,1,1,1,3
Peter Gojowczyk,30-0,.33333334,9,2,0
Peter Gojowczyk,30-15,.41666666,12,2,1
Peter Gojowczyk,30-30,.66666669,12,2,2
Peter Gojowczyk,30-40,.5,8,2,3
Peter Gojowczyk,40-0,.5,6,3,0
Peter Gojowczyk,40-15,.40000001,10,3,1
Peter Gojowczyk,40-30,.5,8,3,2
Peter Gojowczyk,40-40,.5,12,3,3
Peter Gojowczyk,40-50,.5,6,3,4
Peter Gojowczyk,50-40,.16666667,6,4,3
Victor Estrella Burgos,0-0,.37556562,221,0,0
Victor Estrella Burgos,0-15,.40963855,83,0,1
Victor Estrella Burgos,0-30,.29411766,34,0,2
Victor Estrella Burgos,0-40,.5,10,0,3
Victor Estrella Burgos,100-100,.60000002,5,7,7
Victor Estrella Burgos,100-101,1,1,7,7
Victor Estrella Burgos,100-102,1,1,7,7
Victor Estrella Burgos,100-103,0,1,7,7
Victor Estrella Burgos,101-102,0,3,7,7
Victor Estrella Burgos,101-103,1,1,7,7
Victor Estrella Burgos,101-106,0,1,7,8
Victor Estrella Burgos,102-102,.33333334,3,7,7
Victor Estrella Burgos,102-103,1,1,7,7
Victor Estrella Burgos,102-104,1,1,7,7
Victor Estrella Burgos,102-106,0,1,7,8
Victor Estrella Burgos,103-100,0,1,7,7
Victor Estrella Burgos,103-104,0,2,7,7
Victor Estrella Burgos,103-106,0,1,7,8
Victor Estrella Burgos,104-100,0,1,7,7
Victor Estrella Burgos,104-103,0,1,7,7
Victor Estrella Burgos,104-104,0,2,7,7
Victor Estrella Burgos,104-106,0,1,7,8
Victor Estrella Burgos,105-103,0,1,7,7
Victor Estrella Burgos,105-106,1,1,7,8
Victor Estrella Burgos,106-101,0,1,8,7
Victor Estrella Burgos,106-105,0,2,8,7
Victor Estrella Burgos,15-0,.29710144,138,1,0
Victor Estrella Burgos,15-15,.40000001,90,1,1
Victor Estrella Burgos,15-30,.41666666,60,1,2
Victor Estrella Burgos,15-40,.43333334,30,1,3
Victor Estrella Burgos,30-0,.35051546,97,2,0
Victor Estrella Burgos,30-15,.35227272,88,2,1
Victor Estrella Burgos,30-30,.36363637,66,2,2
Victor Estrella Burgos,30-40,.41463414,41,2,3
Victor Estrella Burgos,40-0,.25396827,63,3,0
Victor Estrella Burgos,40-15,.3561644,73,3,1
Victor Estrella Burgos,40-30,.33823529,68,3,2
Victor Estrella Burgos,40-40,.3488372,86,3,3
Victor Estrella Burgos,40-50,.40000001,30,3,4
Victor Estrella Burgos,50-40,.375,56,4,3
Jesse Huta Galung,0-0,.33333334,15,0,0
Jesse Huta Galung,0-15,.40000001,5,0,1
Jesse Huta Galung,0-30,0,2,0,2
Jesse Huta Galung,15-0,.40000001,10,1,0
Jesse Huta Galung,15-15,.2857143,7,1,1
Jesse Huta Galung,15-30,.5,4,1,2
Jesse Huta Galung,15-40,0,2,1,3
Jesse Huta Galung,30-0,.16666667,6,2,0
Jesse Huta Galung,30-15,.16666667,6,2,1
Jesse Huta Galung,30-30,0,3,2,2
Jesse Huta Galung,30-40,.5,2,2,3
Jesse Huta Galung,40-0,.40000001,5,3,0
Jesse Huta Galung,40-15,.42857143,7,3,1
Jesse Huta Galung,40-30,.33333334,6,3,2
Jesse Huta Galung,40-40,.2,10,3,3
Jesse Huta Galung,40-50,0,2,3,4
Jesse Huta Galung,50-40,.625,8,4,3
Carlos Berlocq,0-0,.34433961,212,0,0
Carlos Berlocq,0-15,.41095892,73,0,1
Carlos Berlocq,0-30,.46666667,30,0,2
Carlos Berlocq,0-40,.5,14,0,3
Carlos Berlocq,100-100,.66666669,3,7,7
Carlos Berlocq,100-101,0,2,7,7
Carlos Berlocq,100-103,0,1,7,7
Carlos Berlocq,101-101,.5,2,7,7
Carlos Berlocq,101-102,0,2,7,7
Carlos Berlocq,101-103,1,1,7,7
Carlos Berlocq,101-104,0,1,7,7
Carlos Berlocq,101-106,0,1,7,8
Carlos Berlocq,102-102,1,2,7,7
Carlos Berlocq,102-104,0,1,7,7
Carlos Berlocq,102-106,0,1,7,8
Carlos Berlocq,103-102,0,1,7,7
Carlos Berlocq,103-104,0,1,7,7
Carlos Berlocq,104-102,0,1,7,7
Carlos Berlocq,104-103,1,1,7,7
Carlos Berlocq,104-104,.5,2,7,7
Carlos Berlocq,104-105,0,1,7,7
Carlos Berlocq,105-105,0,1,7,7
Carlos Berlocq,105-106,0,2,7,8
Carlos Berlocq,106-103,0,1,8,7
Carlos Berlocq,106-106,.5,2,8,8
Carlos Berlocq,107-106,1,1,8,8
Carlos Berlocq,107-107,1,1,8,8
Carlos Berlocq,107-108,0,1,8,8
Carlos Berlocq,108-107,0,1,8,8
Carlos Berlocq,108-108,1,1,8,8
Carlos Berlocq,108-109,1,1,8,8
Carlos Berlocq,109-110,1,1,8,8
Carlos Berlocq,15-0,.36690646,139,1,0
Carlos Berlocq,15-15,.41489363,94,1,1
Carlos Berlocq,15-30,.32727271,55,1,2
Carlos Berlocq,15-40,.51999998,25,1,3
Carlos Berlocq,30-0,.40909091,88,2,0
Carlos Berlocq,30-15,.32967034,91,2,1
Carlos Berlocq,30-30,.3283582,67,2,2
Carlos Berlocq,30-40,.41176471,34,2,3
Carlos Berlocq,40-0,.36538461,52,3,0
Carlos Berlocq,40-15,.30000001,80,3,1
Carlos Berlocq,40-30,.37681159,69,3,2
Carlos Berlocq,40-40,.32222223,90,3,3
Carlos Berlocq,40-50,.37931034,29,3,4
Carlos Berlocq,50-40,.42622951,61,4,3
Stephane Robert,0-0,.43333334,90,0,0
Stephane Robert,0-15,.53846157,39,0,1
Stephane Robert,0-30,.5714286,21,0,2
Stephane Robert,0-40,.41666666,12,0,3
Stephane Robert,100-100,.5,2,7,7
Stephane Robert,101-102,1,2,7,7
Stephane Robert,101-103,.5,2,7,7
Stephane Robert,101-106,0,1,7,8
Stephane Robert,102-106,0,1,7,8
Stephane Robert,104-103,1,1,7,7
Stephane Robert,104-104,1,1,7,7
Stephane Robert,15-0,.39215687,51,1,0
Stephane Robert,15-15,.39473686,38,1,1
Stephane Robert,15-30,.33333334,24,1,2
Stephane Robert,15-40,.46666667,15,1,3
Stephane Robert,30-0,.41935483,31,2,0
Stephane Robert,30-15,.30555555,36,2,1
Stephane Robert,30-30,.44444445,27,2,2
Stephane Robert,30-40,.40000001,20,2,3
Stephane Robert,40-0,.55555558,18,3,0
Stephane Robert,40-15,.37142858,35,3,1
Stephane Robert,40-30,.2857143,28,3,2
Stephane Robert,40-40,.42424244,33,3,3
Stephane Robert,40-50,.42857143,14,3,4
Stephane Robert,50-40,.2631579,19,4,3
Pablo Carreno-Busta,0-0,.37704918,427,0,0
Pablo Carreno-Busta,0-15,.36645964,161,0,1
Pablo Carreno-Busta,0-30,.37288135,59,0,2
Pablo Carreno-Busta,0-40,.5,22,0,3
Pablo Carreno-Busta,100-100,.41666666,12,7,7
Pablo Carreno-Busta,100-101,1,2,7,7
