"","Topn","Gamescore","Breaks","Frequency","Density"
"297",100,"30-40",0.5,3,0.710059171597632
"298",100,"30-40",0.525,9,2.1301775147929
"299",100,"30-40",0.55,22,5.20710059171597
"300",100,"30-40",0.575,33,7.81065088757396
"301",100,"30-40",0.6,36,8.52071005917163
"302",100,"30-40",0.625,26,6.15384615384615
"303",100,"30-40",0.65,18,4.26035502958579
"304",100,"30-40",0.675,7,1.65680473372781
"305",100,"30-40",0.7,3,0.710059171597632
"306",100,"30-40",0.725,4,0.946745562130181
"307",100,"30-40",0.75,1,0.236686390532544
"308",100,"30-40",0.775,0,0
"309",100,"30-40",0.8,1,0.236686390532544
"310",100,"30-40",0.825,0,0
"311",100,"30-40",0.85,0,0
"312",100,"30-40",0.875,0,0
"313",100,"40-0",0.25,0,0
"314",100,"40-0",0.275,0,0
"315",100,"40-0",0.3,0,0
"316",100,"40-0",0.325,0,0
"317",100,"40-0",0.35,0,0
"318",100,"40-0",0.375,0,0
"319",100,"40-0",0.4,0,0
"320",100,"40-0",0.425,0,0
"321",100,"40-0",0.45,0,0
"322",100,"40-0",0.475,0,0
"323",100,"40-0",0.5,1,0.220994475138121
"324",100,"40-0",0.525,3,0.662983425414364
"325",100,"40-0",0.55,1,0.220994475138121
"326",100,"40-0",0.575,7,1.54696132596685
"327",100,"40-0",0.6,15,3.31491712707183
"328",100,"40-0",0.625,25,5.52486187845303
"329",100,"40-0",0.65,37,8.17679558011049
"330",100,"40-0",0.675,42,9.2817679558011
"331",100,"40-0",0.7,31,6.85082872928176
"332",100,"40-0",0.725,10,2.20994475138122
"333",100,"40-0",0.75,5,1.10497237569061
"334",100,"40-0",0.775,2,0.441988950276243
"335",100,"40-0",0.8,2,0.441988950276243
"336",100,"40-0",0.825,0,0
"337",100,"40-0",0.85,0,0
"338",100,"40-0",0.875,0,0
"339",100,"40-15",0.25,0,0
"340",100,"40-15",0.275,0,0
"341",100,"40-15",0.3,0,0
"342",100,"40-15",0.325,0,0
"343",100,"40-15",0.35,0,0
"344",100,"40-15",0.375,0,0
"345",100,"40-15",0.4,0,0
"346",100,"40-15",0.425,0,0
"347",100,"40-15",0.45,1,0.202020202020202
"348",100,"40-15",0.475,2,0.404040404040405
"349",100,"40-15",0.5,0,0
"350",100,"40-15",0.525,4,0.808080808080807
"351",100,"40-15",0.55,5,1.01010101010101
"352",100,"40-15",0.575,10,2.02020202020202
"353",100,"40-15",0.6,24,4.84848484848487
"354",100,"40-15",0.625,34,6.86868686868686
"355",100,"40-15",0.65,51,10.3030303030303
"356",100,"40-15",0.675,36,7.27272727272727
"357",100,"40-15",0.7,20,4.04040404040404
"358",100,"40-15",0.725,7,1.41414141414142
"359",100,"40-15",0.75,4,0.808080808080807
"360",100,"40-15",0.775,0,0
"361",100,"40-15",0.8,0,0
"362",100,"40-15",0.825,0,0
"363",100,"40-15",0.85,0,0
"364",100,"40-15",0.875,0,0
"365",100,"40-30",0.25,0,0
"366",100,"40-30",0.275,0,0
"367",100,"40-30",0.3,0,0
"368",100,"40-30",0.325,0,0
"369",100,"40-30",0.35,0,0
"370",100,"40-30",0.375,0,0
"371",100,"40-30",0.4,1,0.208333333333333
"372",100,"40-30",0.425,1,0.208333333333334
"373",100,"40-30",0.45,0,0
"374",100,"40-30",0.475,5,1.04166666666667
"375",100,"40-30",0.5,3,0.624999999999999
"376",100,"40-30",0.525,5,1.04166666666667
"377",100,"40-30",0.55,15,3.125
"378",100,"40-30",0.575,28,5.83333333333333
"379",100,"40-30",0.6,38,7.91666666666669
"380",100,"40-30",0.625,35,7.29166666666666
"381",100,"40-30",0.65,29,6.04166666666666
"382",100,"40-30",0.675,21,4.375
"383",100,"40-30",0.7,9,1.875
"384",100,"40-30",0.725,1,0.208333333333334
"385",100,"40-30",0.75,0,0
"386",100,"40-30",0.775,0,0
"387",100,"40-30",0.8,1,0.208333333333333
"388",100,"40-30",0.825,0,0
"389",100,"40-30",0.85,0,0
"390",100,"40-30",0.875,0,0
"391",100,"40-40",0.25,0,0
"392",100,"40-40",0.275,0,0
"393",100,"40-40",0.3,0,0
"394",100,"40-40",0.325,0,0
"395",100,"40-40",0.35,0,0
"396",100,"40-40",0.375,0,0
"397",100,"40-40",0.4,0,0
"398",100,"40-40",0.425,0,0
"399",100,"40-40",0.45,1,0.225988700564972
"400",100,"40-40",0.475,4,0.903954802259888
"401",100,"40-40",0.5,7,1.5819209039548
"402",100,"40-40",0.525,9,2.03389830508474
"403",100,"40-40",0.55,15,3.38983050847457
"404",100,"40-40",0.575,20,4.51977401129943
"405",100,"40-40",0.6,42,9.49152542372885
"406",100,"40-40",0.625,38,8.58757062146892
"407",100,"40-40",0.65,22,4.97175141242937
"408",100,"40-40",0.675,12,2.71186440677966
"409",100,"40-40",0.7,3,0.677966101694915
"410",100,"40-40",0.725,3,0.677966101694918
"411",100,"40-40",0.75,1,0.225988700564972
"412",100,"40-40",0.775,0,0
"413",100,"40-40",0.8,0,0
"414",100,"40-40",0.825,0,0
"415",100,"40-40",0.85,0,0
"416",100,"40-40",0.875,0,0
"417",100,"40-50",0.25,0,0
"418",100,"40-50",0.275,0,0
"419",100,"40-50",0.3,0,0
"420",100,"40-50",0.325,0,0
"421",100,"40-50",0.35,0,0
"422",100,"40-50",0.375,0,0
"423",100,"40-50",0.4,1,0.28169014084507
"424",100,"40-50",0.425,1,0.281690140845071
"425",100,"40-50",0.45,1,0.28169014084507
"426",100,"40-50",0.475,3,0.845070422535212
"427",100,"40-50",0.5,6,1.69014084507042
"428",100,"40-50",0.525,17,4.78873239436619
"429",100,"40-50",0.55,15,4.22535211267605
"430",100,"40-50",0.575,29,8.16901408450703
"431",100,"40-50",0.6,21,5.9154929577465
"432",100,"40-50",0.625,20,5.6338028169014
"433",100,"40-50",0.65,9,2.53521126760563
"434",100,"40-50",0.675,9,2.53521126760563
"435",100,"40-50",0.7,7,1.97183098591549
"436",100,"40-50",0.725,1,0.281690140845071
"437",100,"40-50",0.75,1,0.28169014084507
"438",100,"40-50",0.775,1,0.28169014084507
"439",100,"40-50",0.8,0,0
"440",100,"40-50",0.825,0,0
"441",100,"40-50",0.85,0,0
"442",100,"40-50",0.875,0,0
"443",100,"50-40",0.25,0,0
"444",100,"50-40",0.275,0,0
"445",100,"50-40",0.3,0,0
"446",100,"50-40",0.325,0,0
"447",100,"50-40",0.35,0,0
"448",100,"50-40",0.375,1,0.238095238095238
"449",100,"50-40",0.4,0,0
"450",100,"50-40",0.425,0,0
"451",100,"50-40",0.45,0,0
"452",100,"50-40",0.475,4,0.952380952380954
"453",100,"50-40",0.5,6,1.42857142857143
"454",100,"50-40",0.525,3,0.714285714285714
"455",100,"50-40",0.55,12,2.85714285714285
"456",100,"50-40",0.575,22,5.23809523809523
"457",100,"50-40",0.6,36,8.5714285714286
"458",100,"50-40",0.625,27,6.42857142857142
"459",100,"50-40",0.65,23,5.47619047619047
"460",100,"50-40",0.675,15,3.57142857142857
"461",100,"50-40",0.7,7,1.66666666666667
"462",100,"50-40",0.725,6,1.42857142857143
"463",100,"50-40",0.75,4,0.952380952380952
"464",100,"50-40",0.775,1,0.238095238095238
"465",100,"50-40",0.8,1,0.238095238095238
"466",100,"50-40",0.825,0,0
"467",100,"50-40",0.85,0,0
"468",100,"50-40",0.875,0,0
"469",75,"0-0",0.25,0,0
"470",75,"0-0",0.275,0,0
"471",75,"0-0",0.3,0,0
"472",75,"0-0",0.325,0,0
"473",75,"0-0",0.35,0,0
"474",75,"0-0",0.375,0,0
"475",75,"0-0",0.4,2,0.331950207468879
"476",75,"0-0",0.425,1,0.16597510373444
"477",75,"0-0",0.45,3,0.497925311203319
"478",75,"0-0",0.475,2,0.33195020746888
"479",75,"0-0",0.5,2,0.331950207468879
"480",75,"0-0",0.525,3,0.497925311203319
"481",75,"0-0",0.55,11,1.82572614107884
"482",75,"0-0",0.575,28,4.64730290456431
"483",75,"0-0",0.6,54,8.96265560165978
"484",75,"0-0",0.625,63,10.4564315352697
"485",75,"0-0",0.65,42,6.97095435684647
"486",75,"0-0",0.675,20,3.31950207468879
"487",75,"0-0",0.7,7,1.16182572614108
"488",75,"0-0",0.725,1,0.16597510373444
"489",75,"0-0",0.75,0,0
"490",75,"0-0",0.775,2,0.331950207468879
"491",75,"0-0",0.8,0,0
"492",75,"0-0",0.825,0,0
"493",75,"0-0",0.85,0,0
"494",75,"0-0",0.875,0,0
"495",75,"0-15",0.25,0,0
"496",75,"0-15",0.275,0,0
"497",75,"0-15",0.3,0,0
"498",75,"0-15",0.325,0,0
"499",75,"0-15",0.35,0,0
"500",75,"0-15",0.375,1,0.213903743315508
"501",75,"0-15",0.4,1,0.213903743315508
"502",75,"0-15",0.425,1,0.213903743315508
"503",75,"0-15",0.45,0,0
"504",75,"0-15",0.475,2,0.427807486631017
"505",75,"0-15",0.5,5,1.06951871657754
"506",75,"0-15",0.525,11,2.35294117647059
"507",75,"0-15",0.55,28,5.98930481283422
"508",75,"0-15",0.575,32,6.84491978609625
"509",75,"0-15",0.6,43,9.19786096256688
"510",75,"0-15",0.625,30,6.41711229946524
"511",75,"0-15",0.65,17,3.63636363636363
"512",75,"0-15",0.675,10,2.13903743315508
"513",75,"0-15",0.7,5,1.06951871657754
"514",75,"0-15",0.725,1,0.213903743315509
"515",75,"0-15",0.75,0,0
"516",75,"0-15",0.775,0,0
"517",75,"0-15",0.8,0,0
"518",75,"0-15",0.825,0,0
"519",75,"0-15",0.85,0,0
"520",75,"0-15",0.875,0,0
"521",75,"0-30",0.25,0,0
"522",75,"0-30",0.275,0,0
"523",75,"0-30",0.3,0,0
"524",75,"0-30",0.325,0,0
"525",75,"0-30",0.35,0,0
"526",75,"0-30",0.375,0,0
"527",75,"0-30",0.4,0,0
"528",75,"0-30",0.425,1,0.283687943262412
"529",75,"0-30",0.45,0,0
"530",75,"0-30",0.475,3,0.851063829787235
"531",75,"0-30",0.5,4,1.13475177304964
"532",75,"0-30",0.525,9,2.5531914893617
"533",75,"0-30",0.55,19,5.39007092198581
"534",75,"0-30",0.575,21,5.95744680851063
"535",75,"0-30",0.6,24,6.8085106382979
"536",75,"0-30",0.625,21,5.95744680851063
"537",75,"0-30",0.65,16,4.53900709219858
"538",75,"0-30",0.675,16,4.53900709219858
"539",75,"0-30",0.7,4,1.13475177304964
"540",75,"0-30",0.725,2,0.567375886524825
"541",75,"0-30",0.75,1,0.283687943262411
"542",75,"0-30",0.775,0,0
"543",75,"0-30",0.8,0,0
"544",75,"0-30",0.825,0,0
"545",75,"0-30",0.85,0,0
"546",75,"0-30",0.875,0,0
"547",75,"0-40",0.25,0,0
"548",75,"0-40",0.275,0,0
"549",75,"0-40",0.3,0,0
"550",75,"0-40",0.325,0,0
"551",75,"0-40",0.35,0,0
"552",75,"0-40",0.375,0,0
"553",75,"0-40",0.4,0,0
"554",75,"0-40",0.425,3,1.42857142857143
"555",75,"0-40",0.45,1,0.476190476190476
"556",75,"0-40",0.475,6,2.85714285714286
"557",75,"0-40",0.5,7,3.33333333333333
"558",75,"0-40",0.525,8,3.80952380952381
"559",75,"0-40",0.55,12,5.71428571428571
"560",75,"0-40",0.575,10,4.76190476190476
"561",75,"0-40",0.6,13,6.19047619047621
"562",75,"0-40",0.625,6,2.85714285714285
"563",75,"0-40",0.65,10,4.76190476190476
"564",75,"0-40",0.675,4,1.9047619047619
"565",75,"0-40",0.7,3,1.42857142857143
"566",75,"0-40",0.725,1,0.476190476190478
"567",75,"0-40",0.75,0,0
"568",75,"0-40",0.775,0,0
"569",75,"0-40",0.8,0,0
"570",75,"0-40",0.825,0,0
"571",75,"0-40",0.85,0,0
"572",75,"0-40",0.875,0,0
"573",75,"15-0",0.25,0,0
"574",75,"15-0",0.275,0,0
"575",75,"15-0",0.3,0,0
"576",75,"15-0",0.325,0,0
"577",75,"15-0",0.35,0,0
"578",75,"15-0",0.375,1,0.186915887850467
"579",75,"15-0",0.4,0,0
"580",75,"15-0",0.425,0,0
"581",75,"15-0",0.45,0,0
"582",75,"15-0",0.475,0,0
"583",75,"15-0",0.5,3,0.560747663551401
"584",75,"15-0",0.525,8,1.49532710280374
"585",75,"15-0",0.55,13,2.42990654205607
"586",75,"15-0",0.575,21,3.92523364485981
"587",75,"15-0",0.6,48,8.97196261682246
"588",75,"15-0",0.625,53,9.90654205607476
"589",75,"15-0",0.65,34,6.35514018691588
"590",75,"15-0",0.675,16,2.99065420560747
"591",75,"15-0",0.7,10,1.86915887850467
"592",75,"15-0",0.725,5,0.93457943925234
"593",75,"15-0",0.75,0,0
"594",75,"15-0",0.775,1,0.186915887850467
"595",75,"15-0",0.8,1,0.186915887850467
"596",75,"15-0",0.825,0,0
"597",75,"15-0",0.85,0,0
"598",75,"15-0",0.875,0,0
"599",75,"15-15",0.25,0,0
"600",75,"15-15",0.275,0,0
"601",75,"15-15",0.3,0,0
"602",75,"15-15",0.325,0,0
"603",75,"15-15",0.35,0,0
"604",75,"15-15",0.375,1,0.198019801980198
"605",75,"15-15",0.4,0,0
"606",75,"15-15",0.425,0,0
"607",75,"15-15",0.45,1,0.198019801980198
"608",75,"15-15",0.475,4,0.792079207920793
"609",75,"15-15",0.5,6,1.18811881188119
"610",75,"15-15",0.525,6,1.18811881188119
"611",75,"15-15",0.55,8,1.58415841584158
"612",75,"15-15",0.575,25,4.95049504950495
"613",75,"15-15",0.6,33,6.53465346534656
"614",75,"15-15",0.625,49,9.7029702970297
"615",75,"15-15",0.65,41,8.11881188118811
"616",75,"15-15",0.675,13,2.57425742574257
"617",75,"15-15",0.7,8,1.58415841584158
