returnerid,returnername,gamescore,topn,ones,returnerProbability,returnerFrequency
25,Andrea Arnaboldi,40-40,100,1,.80000001,15
25,Andrea Arnaboldi,40-50,100,1,.83333331,6
25,Andrea Arnaboldi,50-40,100,1,.60000002,15
27,Germain Gigounon,0-0,100,1,.38461539,13
27,Germain Gigounon,0-15,100,1,.625,8
27,Germain Gigounon,0-30,100,1,.66666669,3
27,Germain Gigounon,0-40,100,1,0,1
27,Germain Gigounon,15-0,100,1,.2,5
27,Germain Gigounon,15-15,100,1,.33333334,9
27,Germain Gigounon,15-30,100,1,.5,8
27,Germain Gigounon,15-40,100,1,.5,4
27,Germain Gigounon,30-0,100,1,1,1
27,Germain Gigounon,30-15,100,1,.66666669,3
27,Germain Gigounon,30-30,100,1,.60000002,5
27,Germain Gigounon,30-40,100,1,.25,4
27,Germain Gigounon,40-0,100,1,0,1
27,Germain Gigounon,40-15,100,1,.33333334,3
27,Germain Gigounon,40-30,100,1,1,5
27,Germain Gigounon,40-40,100,1,0,1
27,Germain Gigounon,40-50,100,1,1,1
27,Germain Gigounon,50-40,100,1,0,1
29,Victor Baluda,0-0,100,1,.69999999,10
29,Victor Baluda,0-15,100,1,.66666669,3
29,Victor Baluda,0-30,100,1,1,1
29,Victor Baluda,15-0,100,1,.5714286,7
29,Victor Baluda,15-15,100,1,.60000002,5
29,Victor Baluda,15-30,100,1,.66666669,3
29,Victor Baluda,15-40,100,1,0,1
29,Victor Baluda,30-0,100,1,1,4
29,Victor Baluda,30-15,100,1,.66666669,3
29,Victor Baluda,30-30,100,1,.66666669,3
29,Victor Baluda,30-40,100,1,0,1
29,Victor Baluda,40-0,100,1,.75,4
29,Victor Baluda,40-15,100,1,0,3
29,Victor Baluda,40-30,100,1,.60000002,5
29,Victor Baluda,40-40,100,1,1,2
29,Victor Baluda,40-50,100,1,1,1
29,Victor Baluda,50-40,100,1,.5,2
30,Patrick Ciorcila,0-0,100,1,.66666669,12
30,Patrick Ciorcila,0-15,100,1,.25,4
30,Patrick Ciorcila,0-30,100,1,.66666669,3
30,Patrick Ciorcila,0-40,100,1,1,1
30,Patrick Ciorcila,15-0,100,1,.625,8
30,Patrick Ciorcila,15-15,100,1,.5,4
30,Patrick Ciorcila,15-30,100,1,.75,4
30,Patrick Ciorcila,15-40,100,1,.5,2
30,Patrick Ciorcila,30-0,100,1,.60000002,5
30,Patrick Ciorcila,30-15,100,1,.75,4
30,Patrick Ciorcila,30-30,100,1,1,4
30,Patrick Ciorcila,30-40,100,1,1,1
30,Patrick Ciorcila,40-0,100,1,1,3
30,Patrick Ciorcila,40-15,100,1,.33333334,3
30,Patrick Ciorcila,40-30,100,1,.83333331,6
30,Patrick Ciorcila,40-40,100,1,0,2
30,Patrick Ciorcila,40-50,100,1,.5,2
30,Patrick Ciorcila,50-40,100,1,0,1
31,Igor Andreev,0-0,100,1,.68148148,270
31,Igor Andreev,0-15,100,1,.72093022,86
31,Igor Andreev,0-30,100,1,.54166669,24
31,Igor Andreev,0-40,100,1,.54545456,11
31,Igor Andreev,15-0,100,1,.59782606,184
31,Igor Andreev,15-15,100,1,.68382353,136
31,Igor Andreev,15-30,100,1,.66071427,56
31,Igor Andreev,15-40,100,1,.68000001,25
31,Igor Andreev,30-0,100,1,.61818182,110
31,Igor Andreev,30-15,100,1,.67407405,135
31,Igor Andreev,30-30,100,1,.62962961,81
31,Igor Andreev,30-40,100,1,.57446808,47
31,Igor Andreev,40-0,100,1,.61764705,68
31,Igor Andreev,40-15,100,1,.71794873,117
31,Igor Andreev,40-30,100,1,.58333331,84
31,Igor Andreev,40-40,100,1,.58064514,62
31,Igor Andreev,40-50,100,1,.61290324,31
31,Igor Andreev,50-40,100,1,.66666669,51
32,Javier Marti,0-0,100,1,.58064514,62
32,Javier Marti,0-15,100,1,.61538464,26
32,Javier Marti,0-30,100,1,.40000001,10
32,Javier Marti,0-40,100,1,.83333331,6
32,Javier Marti,15-0,100,1,.69444442,36
32,Javier Marti,15-15,100,1,.48148149,27
32,Javier Marti,15-30,100,1,.83333331,18
32,Javier Marti,15-40,100,1,.375,8
32,Javier Marti,30-0,100,1,.56,25
32,Javier Marti,30-15,100,1,.54166669,24
32,Javier Marti,30-30,100,1,.61538464,26
32,Javier Marti,30-40,100,1,.53846157,13
32,Javier Marti,40-0,100,1,1,14
32,Javier Marti,40-15,100,1,.69230771,13
32,Javier Marti,40-30,100,1,.5,20
32,Javier Marti,40-40,100,1,.58823532,17
32,Javier Marti,40-50,100,1,.5714286,7
32,Javier Marti,50-40,100,1,.69230771,13
41,Nikolay Davydenko,0-0,100,1,.634009,888
41,Nikolay Davydenko,0-15,100,1,.58769232,325
41,Nikolay Davydenko,0-30,100,1,.5970149,134
41,Nikolay Davydenko,0-40,100,1,.6111111,54
41,Nikolay Davydenko,15-0,100,1,.60638297,564
41,Nikolay Davydenko,15-15,100,1,.62227601,413
41,Nikolay Davydenko,15-30,100,1,.61440676,236
41,Nikolay Davydenko,15-40,100,1,.54838711,124
41,Nikolay Davydenko,30-0,100,1,.67251462,342
41,Nikolay Davydenko,30-15,100,1,.60704607,369
41,Nikolay Davydenko,30-30,100,1,.60344827,290
41,Nikolay Davydenko,30-40,100,1,.57377046,183
41,Nikolay Davydenko,40-0,100,1,.59130436,230
41,Nikolay Davydenko,40-15,100,1,.59748429,318
41,Nikolay Davydenko,40-30,100,1,.61056107,303
41,Nikolay Davydenko,40-40,100,1,.60986549,223
41,Nikolay Davydenko,40-50,100,1,.60000002,115
41,Nikolay Davydenko,50-40,100,1,.61235952,178
42,Renzo Olivo,0-0,100,1,.61764705,34
42,Renzo Olivo,0-15,100,1,.76923078,13
42,Renzo Olivo,0-30,100,1,1,3
42,Renzo Olivo,15-0,100,1,.52380955,21
42,Renzo Olivo,15-15,100,1,.64999998,20
42,Renzo Olivo,15-30,100,1,.80000001,10
42,Renzo Olivo,15-40,100,1,.5,2
42,Renzo Olivo,30-0,100,1,.90909094,11
42,Renzo Olivo,30-15,100,1,.64285713,14
42,Renzo Olivo,30-30,100,1,.46153846,13
42,Renzo Olivo,30-40,100,1,.625,8
42,Renzo Olivo,40-0,100,1,.69999999,10
42,Renzo Olivo,40-15,100,1,.41666666,12
42,Renzo Olivo,40-30,100,1,.61538464,13
42,Renzo Olivo,40-40,100,1,.60000002,10
42,Renzo Olivo,40-50,100,1,.5,4
42,Renzo Olivo,50-40,100,1,.625,8
44,Riccardo Ghedin,0-0,100,1,.5625,16
44,Riccardo Ghedin,0-15,100,1,.85714287,7
44,Riccardo Ghedin,0-30,100,1,1,1
44,Riccardo Ghedin,15-0,100,1,.66666669,9
